brand,series,model,ad_title,year,mileage,color,price,ad_date,city,district,url
Alfa Romeo,145,1.4 TS STD,Alfa Romeo 145 1.4 TEMİZ VE BAKIMLI,1998,260750,Bej,177500.0,20 Mayıs 2023,Bursa,Nilüfer,/ilan/vasita-otomobil-alfa-romeo-alfa-romeo-145-1.4-temiz-ve-bakimli-1100582023/detay
Alfa Romeo,156,2.0 TS,SAHİBİNDEN UYGUN FİYATA 156,1998,295000,Gümüş Gri,195000.0,18 Mayıs 2023,İstanbul,Pendik,/ilan/vasita-otomobil-alfa-romeo-sahibinden-uygun-fiyata-156-1100167703/detay
Alfa Romeo,156,2.0 TS,Hatasız tertemiz Alfa,1998,344000,Füme,220000.0,24 Mayıs 2023,Tekirdağ,Süleymanpaşa,/ilan/vasita-otomobil-alfa-romeo-hatasiz-tertemiz-alfa-1085480895/detay
Alfa Romeo,156,1.6 TS,"""Alfa"" Romeo, 2003 full paket sanruflu klimalı",2003,303000,Siyah,235000.0,19 Mayıs 2023,İzmir,Buca,/ilan/vasita-otomobil-alfa-romeo-alfa-romeo-2003-full-paket-sanruflu-klimali-1100444809/detay
Alfa Romeo,156,2.0 TS,Alfa Romeo 156TS Manuel vites 2.0 benzin LPG'li,1998,285000,Kırmızı,245000.0,22 Mayıs 2023,Konya,Karatay,/ilan/vasita-otomobil-alfa-romeo-alfa-romeo-156ts-manuel-vites-2.0-benzin-lpg-li-1100936506/detay
Alfa Romeo,156,1.6 TS Distinctive,REZERVElendi,2004,284000,Kırmızı,265000.0,23 Mayıs 2023,Kocaeli,İzmit,/ilan/vasita-otomobil-alfa-romeo-rezervelendi-1100914117/detay
Alfa Romeo,156,1.6 TS Distinctive,TEMİZ MK 1.5 BİLEN BİLİR TAKASA AÇIK AÇIKLAMAYI OKUYUN LÜTFEN,2003,281000,Gümüş Gri,270000.0,24 Mayıs 2023,İstanbul,Küçükçekmece,/ilan/vasita-otomobil-alfa-romeo-temiz-mk-1.5-bilen-bilir-takasa-acik-aciklamayi-okuyun-lutfen-1101544815/detay
Alfa Romeo,156,1.6 TS Distinctive,KAYITSIZ KIRMIZI DİJİTAL KLİMA HIZ SABİTLEME MASRAFSIZ 156,2005,250200,Kırmızı,283750.0,25 Mayıs 2023,Ankara,Keçiören,/ilan/vasita-otomobil-alfa-romeo-kayitsiz-kirmizi-dijital-klima-hiz-sabitleme-masrafsiz-156-1101718882/detay
Alfa Romeo,156,1.6 TS Progression,Motor Sıfır Değişensiz İçiKırmızı Kaputtvnçamu­rlukBoyasız Takas,2005,285000,Siyah,335000.0,23 Mayıs 2023,Ankara,Etimesgut,/ilan/vasita-otomobil-alfa-romeo-motor-sifir-degisensiz-icikirmizi-kaputtvncamurlukboyasiz-takas-1101307529/detay
Alfa Romeo,156,1.6 TS Distinctive,SAHIBINDEN,2005,220000,Füme,335000.0,19 Mayıs 2023,İzmir,Buca,/ilan/vasita-otomobil-alfa-romeo-sahibinden-1100236885/detay
